Time: 2024-07-31 09:50:51, favorites: 88486
Time: 2024-07-31 10:20:55, favorites: 88486
Time: 2024-07-31 10:50:57, favorites: 88486
Time: 2024-07-31 11:21:00, favorites: 88588
Time: 2024-07-31 11:51:03, favorites: 88588
Time: 2024-07-31 12:21:06, favorites: 88588
Time: 2024-07-31 12:51:08, favorites: 88588
Time: 2024-07-31 13:21:10, favorites: 88631
Time: 2024-07-31 13:51:13, favorites: 88631
Time: 2024-07-31 14:21:15, favorites: 88631
Time: 2024-07-31 14:51:19, favorites: 88631
Time: 2024-07-31 15:21:21, favorites: 88657
Time: 2024-07-31 15:51:23, favorites: 88657
Time: 2024-07-31 16:21:25, favorites: 88657
Time: 2024-07-31 16:51:28, favorites: 88657
Time: 2024-07-31 17:21:30, favorites: 88659
Time: 2024-07-31 17:51:32, favorites: 88659
Time: 2024-07-31 18:21:34, favorites: 88659
Time: 2024-07-31 18:51:36, favorites: 88659
Time: 2024-07-31 19:21:38, favorites: 88688
Time: 2024-07-31 19:51:41, favorites: 88688
Time: 2024-07-31 20:21:43, favorites: 88688
Time: 2024-07-31 20:51:45, favorites: 88688
Time: 2024-08-01 03:39:58, favorites: 88865
Time: 2024-08-01 04:10:00, favorites: 88865
Time: 2024-08-01 04:40:03, favorites: 88865
Time: 2024-08-01 05:10:06, favorites: 88865
Time: 2024-08-01 05:40:08, favorites: 88964
Time: 2024-08-01 06:10:10, favorites: 88964
Time: 2024-08-01 06:40:12, favorites: 88964
Time: 2024-08-01 07:10:14, favorites: 88964
Time: 2024-08-01 07:40:18, favorites: 89105
Time: 2024-08-01 08:10:21, favorites: 89105
Time: 2024-08-01 08:40:22, favorites: 89105
Time: 2024-08-01 09:10:25, favorites: 89105
Time: 2024-08-01 09:40:27, favorites: 89266
Time: 2024-08-01 10:10:29, favorites: 89266
Time: 2024-08-01 10:40:31, favorites: 89266
Time: 2024-08-01 11:10:33, favorites: 89266
Time: 2024-08-01 11:40:35, favorites: 89372
Time: 2024-08-01 12:10:37, favorites: 89372
Time: 2024-08-01 12:40:39, favorites: 89372
Time: 2024-08-01 13:10:41, favorites: 89372
Time: 2024-08-01 13:40:44, favorites: 89415
Time: 2024-08-01 14:10:45, favorites: 89415
Time: 2024-08-01 14:40:48, favorites: 89415
Time: 2024-08-01 15:10:50, favorites: 89415
Time: 2024-08-01 15:40:57, favorites: 89407
Time: 2024-08-01 16:11:02, favorites: 89407
Time: 2024-08-01 16:41:04, favorites: 89407
Time: 2024-08-01 17:11:08, favorites: 89407
Time: 2024-08-01 17:41:09, favorites: 89460
Time: 2024-08-01 18:11:11, favorites: 89460
Time: 2024-08-01 18:41:13, favorites: 89460
Time: 2024-08-01 19:11:16, favorites: 89460
Time: 2024-08-01 19:41:18, favorites: 89530
Time: 2024-08-01 20:11:20, favorites: 89530
Time: 2024-08-01 20:41:22, favorites: 89530
Time: 2024-08-01 21:11:35, favorites: 89530
Time: 2024-08-01 21:41:39, favorites: 89564
Time: 2024-08-01 22:11:41, favorites: 89564
Time: 2024-08-01 22:41:46, favorites: 89564
Time: 2024-08-01 23:11:50, favorites: 89564
Time: 2024-08-01 23:41:53, favorites: 89626
Time: 2024-08-02 00:11:59, favorites: 89626
Time: 2024-08-02 00:42:02, favorites: 89626
Time: 2024-08-02 01:12:07, favorites: 89626
Time: 2024-08-02 01:42:12, favorites: 89688
Time: 2024-08-02 02:12:15, favorites: 89688
Time: 2024-08-02 02:42:18, favorites: 89688
Time: 2024-08-02 03:12:21, favorites: 89688
Time: 2024-08-02 03:42:23, favorites: 89774
Time: 2024-08-02 04:12:25, favorites: 89774
Time: 2024-08-02 04:42:28, favorites: 89774
Time: 2024-08-02 05:12:30, favorites: 89833
Time: 2024-08-02 05:42:32, favorites: 89833
Time: 2024-08-02 06:12:36, favorites: 89833
Time: 2024-08-02 06:42:38, favorites: 89833
Time: 2024-08-02 07:12:41, favorites: 89833
Time: 2024-08-02 07:42:44, favorites: 89959
Time: 2024-08-02 08:12:46, favorites: 89959
Time: 2024-08-02 08:42:48, favorites: 89959
Time: 2024-08-02 09:12:51, favorites: 90126
Time: 2024-08-02 09:42:54, favorites: 90126
Time: 2024-08-02 10:12:56, favorites: 90126
Time: 2024-08-02 10:42:59, favorites: 90126
Time: 2024-08-02 11:13:02, favorites: 90126
Time: 2024-08-02 11:43:04, favorites: 90218
Time: 2024-08-02 12:15:08, favorites: 90218
Time: 2024-08-02 12:45:13, favorites: 90218
Time: 2024-08-02 13:15:15, favorites: 90276
Time: 2024-08-02 13:45:17, favorites: 90276
Time: 2024-08-02 14:15:20, favorites: 90276
Time: 2024-08-02 14:45:23, favorites: 90276
